1DL441, Kombinatorisk optimering med villkorsprogrammering, Combinatorial Optimisation using Constraint Programming, 10.0 hp
1RT361, Kommunal och industriell avloppsvattenrening, Municipal and Industrial Wastewater Treatment, 5.0 hp
1DL117, Kompilatorteknik DV1, Compiler Design, 7.5 hp
2AD520, Kompilatorteknik DV1, Compiler Design DV1, 7.5 hp
2AD518, Kompilatorteknik DV2, Compiler Technique DV2, 7.5 hp
1DL321, Kompilatorteknik I, Compiler Design I, 5.0 hp
1DL021, Kompilatorteknik I, Compiler Design I, 7.5 hp
1DL320, Kompilatorteknik I, Compiler Design I, 5.0 hp
1DL016, Kompilatorteknik II, Compiler Design II, 7.5 hp
1DL520, Kompilatorteknik II, Compiler Design II, 10.0 hp
1TD231, Kompilatorteknik MN1, Compiler Techniques MN1, 7.5 hp
1DL420, Kompilatorteknik projekt, Compiler Design Project, 5.0 hp
1DT710, Kompilatorteori, Compiler Theory, 7.5 hp
1TS241, Komplexa system i teknik och samhälle - teknik, Complex Systems in Technology and Society - Technology, 7.5 hp
1IT110, Konstruktion av användargränssnitt, User Interface Design, 4.5 hp
1MD222, Konstruktion av användargränssnitt II, User Interface Design I, 4.5 hp
1TT497, Kontinuerliga reglersystem, Continuous Control Systems, 6.0 hp
1RT110, Kontinuerliga reglersystem MN1, Continuous Control Systems MN1, 7.5 hp
1DT138, Kryptologi, Cryptography, 6.0 hp
1DT026, Kryptologi, Cryptography, 7.5 hp
1DT075, Kryptologi, Cryptology, 5.0 hp
1DT659, Kryptologi DV1, Cryptography, 7.5 hp
1DL114, Kvantinformationsteori, Quantum Computing, 7.5 hp
1DL022, Logikprogrammering, Logic Programming, 7.5 hp
2AD089, Logikprogrammering DV1, Logic Programming DV1, 6.0 hp
2AD201, Logikprogrammering MN1, Logic Programming MN1, 7.5 hp
1DL550, Lågnivå-parallellprogrammering, Low-Level Parallel Programming, 5.0 hp
1DT022, Maskininlärning, Machine Learning, 7.5 hp
1DT071, Maskininlärning, Machine Learning, 10.0 hp
1MD100, Medicinsk informatik, Medical Informatics, 4.5 hp
1MD012, Medicinsk informatik, Medical Informatics, 5.0 hp
1MD030, Medicinsk informatik, Medical Informatics, 5.0 hp
1RT320, Medicinsk signalbehandling, Medical Signal Processing, 7.5 hp
1RT300, Medicinteknisk introduktionskurs, Medical Engineering, Introductory Course, 7.5 hp
1DT059, Modellbaserad utveckling av inbyggd programvara, Model-Based Design of Embedded Software, 10.0 hp
1IT100, Modellbygge och simulering, Modelling and Simulation, 4.5 hp
1RT142, Modellbygge och simulering MN1, Modelling and Simulation, 7.5 hp
1MD005, Modeller av människor i komplexa system, Models of Humans in Complex Systems, 5.0 hp
1RT155, Modellering av dynamiska system, Modelling of Dynamic Systems, 5.0 hp
1TV470, Modellering och styrning av miljötekniska processer, Modelling and Control of Environmental Processes, 7.5 hp
